IdEmpresa,Año,IdMes,Energía Facturada (MWh),temperatura,precipitacion,PIB_mensual_interpolado,COSTO_CANASTA,INGRESO_FAMILIAR_MENSUAL
11,2015,7,49105.74129,16.08,216.27,25369058.98,668.57,660.8
11,2015,8,49342.448939,16.39,149.1,25397950.6,668.95,660.8
11,2015,9,50095.578367,17.11,95.24,25293291.89,670.53,660.8
11,2015,10,49953.58388,17.49,161.86,25133753.15,669.88,660.8
11,2015,11,50227.139903,17.42,158.34,24971851.19,669.96,660.8
11,2015,12,50110.534564,16.79,133.36,24848501.57,673.21,660.8
11,2016,1,49909.667132,18.25,81.88,24779695.26,675.93,683.2
11,2016,2,49820.435648,17.16,179.45,24783334.57,678.61,683.2
11,2016,3,50703.175492,17.4,281.43,24822407.15,680.7,683.2
11,2016,4,50200.380131,17.61,260.51,24858919.55,683.16,683.2
11,2016,5,50419.710122,17.14,277.09,24863203.11,686.74,683.2
11,2016,6,50494.22105,16.2,303.11,24878172.36,688.53,683.2
11,2016,7,50002.955645,17.82,183.49,24960917.54,688.21,683.2
11,2016,8,50422.29528399999,19.55,190.49,25160152.91,689.1,683.2
11,2016,9,50143.831214,20.05,220.6,25449652.98,691.38,683.2
11,2016,10,51180.006765,20.68,182.24,25775821.66,691.88,683.2
11,2016,11,51773.646208000006,20.85,217.14,26120322.63,692.56,683.2
11,2016,12,51877.476161,19.93,137.01,26426986.93,700.96,683.2
11,2017,1,51182.633827,16.5,270.38,26681922.74,701.93,700.0
11,2017,2,49563.890894,16.89,163.99,26842647.08,708.52,700.0
11,2017,3,51856.297832,16.71,272.16,26892590.77,709.22,700.0
11,2017,4,51747.900228,17.6,183.76,26830156.28,706.04,700.0
11,2017,5,53176.571015,17.58,212.42,26657579.08,709.18,700.0
11,2017,6,52509.385325,19.0,277.05,26445443.19,707.47,700.0
11,2017,7,52275.877745,18.22,203.96,26304819.34,708.51,700.0
11,2017,8,53646.19478,18.86,230.03,26300401.7,709.25,700.0
11,2017,9,52666.049332,20.02,249.31,26404708.24,708.79,700.0
11,2017,10,54073.733471,20.15,206.02,26551265.76,708.01,700.0
11,2017,11,54648.554632,20.38,247.76,26697665.09,706.31,700.0
11,2017,12,53857.893078,19.83,242.91,26813037.94,708.98,700.0
11,2018,1,54128.743987,16.6,146.91,26889942.88,712.03,720.53
11,2018,2,52029.42262,17.5,127.38,26915764.97,710.46,720.53
11,2018,3,53601.478233,17.3,184.79,26912429.42,711.13,720.53
11,2018,4,54524.395424,17.0,236.61,26905269.6,709.74,720.53
11,2018,5,55580.651886,16.9,259.5,26913165.18,710.07,720.53
11,2018,6,54483.73134,16.15,182.97,26924231.05,708.22,720.53
11,2018,7,55011.323577,16.05,145.1,26917973.02,707.54,720.53
11,2018,8,56201.284138,16.1,191.82,26880006.08,710.76,720.53
11,2018,9,54385.40644,16.95,164.82,26822391.8,712.66,720.53
11,2018,10,56979.238647000006,18.15,193.82,26765775.5,714.31,720.53
11,2018,11,56474.491727,18.25,200.2,26724149.3,714.67,720.53
11,2018,12,55093.66004,16.95,139.72,26714691.13,715.16,720.53
11,2019,1,56243.811198,21.4,435.1,26751271.67,719.88,735.47
11,2019,2,53641.035765,21.6,418.0,26840265.48,717.79,735.47
11,2019,3,54506.732754,21.4,326.5,26939093.07,713.05,735.47
11,2019,4,56859.62351,21.9,469.1,27030494.29,715.7,735.47
11,2019,5,56410.750922,21.7,488.4,27068584.59,715.61,735.47
11,2019,6,54902.338254,20.9,418.3,27045683.85,715.83,735.47
11,2019,7,56770.79869,20.5,303.0,26959500.65,715.74,735.47
11,2019,8,56610.431099,20.9,233.5,26825288.35,714.47,735.47
11,2019,9,55805.302675,22.1,199.9,26765449.99,713.75,735.47
11,2019,10,56394.503419,21.6,372.6,26915469.39,718.18,735.47
17,2009,1,7557.038,15.41,130.9,19048194.13,512.03,406.93
17,2009,1,7557.038,15.41,162.36,19048194.13,512.03,406.93
17,2009,2,6980.715,15.3,51.07,19017244.53,513.27,406.93
17,2009,2,6980.715,15.3,121.29,19017244.53,513.27,406.93
17,2009,3,7515.035,15.84,123.73,18989494.5,519.9,406.93
17,2009,3,7515.035,15.84,111.37,18989494.5,519.9,406.93
17,2009,4,7384.519999999999,15.72,122.73,18961052.71,522.76,406.93
17,2009,4,7384.519999999999,15.72,132.07,18961052.71,522.76,406.93
17,2009,5,7180.96,15.75,72.8,18936260.49,522.75,406.93
17,2009,5,7180.96,15.75,98.76,18936260.49,522.75,406.93
17,2009,6,7778.29,15.38,93.17,18907178.5,522.38,406.93
17,2009,6,7778.29,15.38,93.32,18907178.5,522.38,406.93
17,2009,7,6421.6900000000005,15.06,161.83,18867992.41,521.73,406.93
17,2009,7,6421.6900000000005,15.06,81.3,18867992.41,521.73,406.93
17,2009,8,7683.95,15.13,85.33,18815652.9,519.3,406.93
17,2009,8,7683.95,15.13,66.0,18815652.9,519.3,406.93
17,2009,9,7476.949999999999,15.96,48.5,18780968.14,521.26,406.93
17,2009,9,7476.949999999999,15.96,40.93,18780968.14,521.26,406.93
17,2009,10,7636.48,16.31,75.03,18799372.21,522.34,406.93
17,2009,10,7636.48,16.31,65.74,18799372.21,522.34,406.93
17,2009,11,7000.8565,16.42,40.13,18894316.02,522.59,406.93
17,2009,11,7000.8565,16.42,58.39,18894316.02,522.59,406.93
17,2009,12,7342.92609,18.16,66.6,19028374.04,528.9,406.93
17,2009,12,7342.92609,18.16,100.48,19028374.04,528.9,406.93
17,2010,1,6349.82687,16.35,21.9,19164426.62,534.33,448.0
17,2010,1,6349.82687,16.35,64.89,19164426.62,534.33,448.0
17,2010,2,6751.284,16.65,54.07,19263288.02,535.48,448.0
17,2010,2,6751.284,16.65,129.25,19263288.02,535.48,448.0
17,2010,3,7514.97118,16.85,72.1,19331388.5,535.56,448.0
17,2010,3,7514.97118,16.85,124.99,19331388.5,535.56,448.0
17,2010,4,7618.15046,16.61,147.1,19406796.34,539.67,448.0
17,2010,4,7618.15046,16.61,148.14,19406796.34,539.67,448.0
17,2010,5,7435.461069999999,16.38,140.23,19500128.31,538.89,448.0
17,2010,5,7435.461069999999,16.38,140.94,19500128.31,538.89,448.0
17,2010,6,7693.22786,15.36,165.8,19627030.21,538.12,448.0
17,2010,6,7693.22786,15.36,108.86,19627030.21,538.12,448.0
17,2010,7,7713.4947,15.36,107.27,19785292.12,536.93,448.0
17,2010,7,7713.4947,15.36,84.88,19785292.12,536.93,448.0
17,2010,8,7922.7774,14.62,54.07,19984803.5,538.73,448.0
17,2010,8,7922.7774,14.62,41.43,19984803.5,538.73,448.0
17,2010,9,6466.79758,15.53,46.97,20192809.98,539.36,448.0
17,2010,9,6466.79758,15.53,36.06,20192809.98,539.36,448.0
17,2010,10,7666.96911,16.36,40.5,20369211.07,540.1,448.0
17,2010,10,7666.96911,16.36,68.27,20369211.07,540.1,448.0
17,2010,11,7644.906910000001,15.84,100.23,20503780.26,541.82,448.0
17,2010,11,7644.906910000001,15.84,91.18,20503780.26,541.82,448.0
17,2010,12,7854.66703,15.73,73.4,20611867.25,544.71,448.0
17,2010,12,7854.66703,15.73,126.08,20611867.25,544.71,448.0
17,2011,1,7801.25072,15.38,70.7,20737236.8,548.63,492.8
17,2011,1,7801.25072,15.38,131.78,20737236.8,548.63,492.8
17,2011,2,6904.37983,15.63,107.25,20902485.18,551.24,492.8
17,2011,2,6904.37983,15.63,159.19,20902485.18,551.24,492.8
17,2011,3,7743.930139999999,16.14,102.48,21071061.22,551.87,492.8
17,2011,3,7743.930139999999,16.14,112.28,21071061.22,551.87,492.8
17,2011,4,7478.51874,15.96,169.45,21251886.24,555.27,492.8
17,2011,4,7478.51874,15.96,235.41,21251886.24,555.27,492.8
17,2011,5,7962.35677,15.85,127.5,21398872.73,557.44,492.8
17,2011,5,7962.35677,15.85,106.39,21398872.73,557.44,492.8
17,2011,6,7864.414149,15.58,87.38,21518302.31,556.93,492.8
17,2011,6,7864.414149,15.58,87.12,21518302.31,556.93,492.8
17,2011,7,8089.1928,14.76,142.9,21604093.24,559.41,492.8
17,2011,7,8089.1928,14.76,120.18,21604093.24,559.41,492.8
17,2011,8,7116.7952000000005,15.39,69.97,21667807.12,563.75,492.8
17,2011,8,7116.7952000000005,15.39,58.24,21667807.12,563.75,492.8
17,2011,9,7881.634900000001,15.31,92.5,21728562.47,567.41,492.8
17,2011,9,7881.634900000001,15.31,88.57,21728562.47,567.41,492.8
17,2011,10,8101.626899999999,15.92,76.1,21809614.29,571.08,492.8
17,2011,10,8101.626899999999,15.92,63.1,21809614.29,571.08,492.8
17,2011,11,7561.1723,16.0,135.07,21932191.45,572.35,492.8
17,2011,11,7561.1723,16.0,112.28,21932191.45,572.35,492.8
17,2011,12,7798.996099999999,17.57,108.37,22065958.74,578.04,492.8
17,2011,12,7798.996099999999,17.57,143.19,22065958.74,578.04,492.8
17,2012,1,7948.41,15.5,138.18,22186857.44,581.21,545.07
17,2012,1,7948.41,15.5,195.34,22186857.44,581.21,545.07
17,2012,2,7539.31,15.4,85.45,22268266.76,583.27,545.07
17,2012,2,7539.31,15.4,175.26,22268266.76,583.27,545.07
17,2012,3,7415.58,15.72,109.28,22329986.56,587.36,545.07
17,2012,3,7415.58,15.72,156.41,22329986.56,587.36,545.07
17,2012,4,8028.08,15.6,95.75,22414576.31,588.48,545.07
17,2012,4,8028.08,15.6,146.26,22414576.31,588.48,545.07
17,2012,5,8214.83,15.35,101.12,22536010.54,584.71,545.07
17,2012,5,8214.83,15.35,100.14,22536010.54,584.71,545.07
17,2012,6,8360.64,15.17,67.45,22673997.17,586.18,545.07
17,2012,6,8360.64,15.17,87.37,22673997.17,586.18,545.07
17,2012,7,8367.857,14.06,79.92,22779924.61,585.81,545.07
17,2012,7,8367.857,14.06,84.17,22779924.61,585.81,545.07
17,2012,8,8349.888,13.98,107.32,22835995.69,587.86,545.07
17,2012,8,8349.888,13.98,73.6,22835995.69,587.86,545.07
17,2012,9,8323.869,14.54,35.9,22878491.75,594.06,545.07
17,2012,9,8323.869,14.54,49.52,22878491.75,594.06,545.07
17,2012,10,6807.726425,15.19,89.0,22960498.89,595.44,545.07
