fecha,año,mes,IdEmpresa,valor_real,prediccion,error,error_abs,error_porcentual
2009-01-01,2009,1,17,7557.038,10342.383,-2785.3448125000004,2785.3448125000004,36.857626129443844
2009-01-01,2009,1,26,301141.05440100003,293692.38,7448.67940100003,7448.67940100003,2.473485196436004
2009-01-01,2009,1,192,10305.628337,13720.25,-3414.621663,3414.621663,33.133561111849744
2009-01-01,2009,1,193,16390.523,15490.152,900.370656250001,900.370656250001,5.493239332570419
2009-02-01,2009,2,11,32088.890585,28034.23,4054.660116250001,4054.660116250001,12.635712990792388
2009-02-01,2009,2,26,290713.342863,294263.4,-3550.063387000002,3550.063387000002,1.2211559854935816
2009-02-01,2009,2,130,14985.159989,16007.578,-1022.4181360000002,1022.4181360000002,6.822871005384767
2009-02-01,2009,2,191,25817.445076,29832.605,-4015.16039275,4015.16039275,15.552121369602562
2009-03-01,2009,3,11,32373.116098,28380.574,3992.5418792499986,3992.5418792499986,12.332893340152253
2009-03-01,2009,3,17,7515.035,10524.031,-3008.99625,3008.99625,40.0396837805812
2009-03-01,2009,3,72,23344.102002,18816.004,4528.09809575,4528.09809575,19.397182617528212
2009-03-01,2009,3,142,33278.597614,26539.57,6739.027301499998,6739.027301499998,20.250334403108837
2009-03-01,2009,3,189,28623.78956,28723.617,-99.82762749999893,99.82762749999893,0.3487575510948486
2009-04-01,2009,4,26,314010.546441,299013.7,14996.858941000013,14996.858941000013,4.775909316096107
2009-04-01,2009,4,54,44820.872,36708.223,8112.649343750003,8112.649343750003,18.100159550108714
2009-04-01,2009,4,72,26538.27215,18954.121,7584.151056250001,7584.151056250001,28.57816444636167
2009-04-01,2009,4,87,82766.52909,80236.766,2529.7634649999964,2529.7634649999964,3.056505441045065
2009-04-01,2009,4,189,27970.860277,28829.945,-859.0850355000002,859.0850355000002,3.071357216018173
2009-05-01,2009,5,142,33342.29542,27384.078,5958.217295000002,5958.217295000002,17.869847351379512
2009-06-01,2009,6,35,23850.2,27560.86,-3710.6593749999993,3710.6593749999993,15.55818976360785
2009-06-01,2009,6,174,284112.76284,272967.62,11145.137839999981,11145.137839999981,3.9227867585365885
2009-07-01,2009,7,17,6421.6900000000005,10829.398,-4407.7084374999995,4407.7084374999995,68.63782645222673
2009-07-01,2009,7,20,4360.563,11914.715,-7554.15184375,7554.15184375,173.23799343685667
2009-07-01,2009,7,130,19750.132991,17374.012,2376.1212722499986,2376.1212722499986,12.030912770728081
2009-07-01,2009,7,193,17498.399,16905.43,592.9693125000013,592.9693125000013,3.3887060896256918
2009-08-01,2009,8,17,7683.95,11014.406,-3330.45625,3330.45625,43.343023444972964
2009-08-01,2009,8,20,4215.0,12007.672,-7792.671875,7792.671875,184.8795225385528
2009-08-01,2009,8,54,41154.809,36696.62,4458.187906250001,4458.187906250001,10.832726513807902
2009-08-01,2009,8,134,70918.374505,66067.11,4851.26513,4851.26513,6.84063215472877
2009-08-01,2009,8,178,18879.756,18038.879,840.8770937500012,840.8770937500012,4.453855726472319
2009-08-01,2009,8,191,30037.888525,30913.34,-875.4513187500015,875.4513187500015,2.914490204667279
2009-08-01,2009,8,192,10694.679456,15134.363,-4439.68382525,4439.68382525,41.51301442474949
2009-09-01,2009,9,30,59096.801705000005,52850.68,6246.122017500005,6246.122017500005,10.569306353801442
2009-09-01,2009,9,72,29286.979268,20639.14,8647.838643,8647.838643,29.52792967777642
2009-09-01,2009,9,130,20703.172991,17746.883,2956.2901784999995,2956.2901784999995,14.27940625229353
2009-10-01,2009,10,26,311517.850939,299260.6,12257.257189000025,12257.257189000025,3.934688542583771
2009-10-01,2009,10,142,34849.294173999995,29241.309,5607.985580249995,5607.985580249995,16.092106635645848
2009-11-01,2009,11,136,33872.222812,33295.68,576.5431245,576.5431245,1.7021118681816967
2009-12-01,2009,12,26,285988.262925,303669.6,-17681.330825000012,17681.330825000012,6.182537228682324
2009-12-01,2009,12,30,53652.24815,55772.047,-2119.7987250000006,2119.7987250000006,3.9509970189385264
2009-12-01,2009,12,178,18310.865,18793.379,-482.5139062499984,482.5139062499984,2.6351234977156914
2009-12-01,2009,12,191,28735.328201,31652.469,-2917.1405489999997,2917.1405489999997,10.15175650194412
2010-01-01,2010,1,20,4221.894,11068.449,-6846.55521875,6846.55521875,162.16786159837267
2010-01-01,2010,1,35,26862.49,27829.402,-966.9123437499984,966.9123437499984,3.599488892317869
2010-01-01,2010,1,174,246325.480786,274451.7,-28126.206714,28126.206714,11.418309881808444
2010-01-01,2010,1,193,15587.652,16234.309,-646.65659375,646.65659375,4.14851828710315
2010-02-01,2010,2,17,6751.284,10470.199,-3718.9152187500003,3718.9152187500003,55.08456196998972
2010-02-01,2010,2,17,6751.284,10565.836,-3814.5519375000003,3814.5519375000003,56.501132784519214
2010-02-01,2010,2,20,4262.88,10934.895,-6672.01453125,6672.01453125,156.51424697035804
2010-02-01,2010,2,87,87467.65207000001,94992.47,-7524.816679999989,7524.816679999989,8.602970929158941
2010-02-01,2010,2,142,34433.729354,28635.371,5798.358260250003,5798.358260250003,16.83918172394079
2010-02-01,2010,2,189,28726.377786,29654.32,-927.9425264999991,927.9425264999991,3.230280313838378
2010-02-01,2010,2,191,26814.496971,32029.566,-5215.0694352499995,5215.0694352499995,19.44869389453817
2010-02-01,2010,2,192,11733.072,14780.594,-3047.52175,3047.52175,25.9737752397667
2010-03-01,2010,3,17,7514.97118,10660.195,-3145.2241325000005,3145.2241325000005,41.85277703886019
2010-03-01,2010,3,20,3953.979,11225.203,-7271.224125000001,7271.224125000001,183.89637691550715
